;Preço_hoje;Liquidez_media;P/L;P/VP;Dy 12m 2021;Dl/Pl_hoje;Lpa_2020;Lpa_2019;Setor;Sub_setor
AALR3;18,45;18.039.137,40;56,78;1,81;-%;0,51;-0,82;0,35;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos
ABCB4;17,55;17.979.321,04;7,66;0,87;5,71%;-;1,54;2,28;Financeiro e Outros;Intermediários Financeiros
ABEV3;16,10;444.365.135,76;15,99;2,92;3,05%;-0,20;0,72;0,75;Consumo não Cíclico;Bebidas
ADHM3;1,56;94.201,44;-4,09;-1,29;-%;-;-0,38;7,03;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos
AERI3;7,85;13.980.499,84;90,16;5,91;-%;0,53;0,15;-;Bens Industriais;Máquinas e Equipamentos
AFLT3;8,83;9.076,04;28,28;3,12;7,14%;-0,11;0,30;0,40;Utilidade Pública;Energia Elétrica
AGRO3;24,29;23.031.015,00;5,61;1,14;10,79%;-0,09;5,11;2,10;Consumo não Cíclico;Agropecuária
AHEB3;27,00;5.800,22;-3,81;-4,80;-%;-;-2,80;-18,16;Consumo Cíclico;Viagens e Lazer
AHEB5;23,00;3.800,00;-3,25;-4,09;-%;-;-2,80;-18,16;Consumo Cíclico;Viagens e Lazer
AHEB6;51,50;6.742,00;-7,27;-9,15;-%;-;-2,80;-18,16;Consumo Cíclico;Viagens e Lazer
ALPA3;33,36;79.517,32;43,64;5,88;0,74%;-0,20;0,24;0,47;Consumo Cíclico;Tecidos. Vestuário e Calçados
ALPA4;40,03;108.793.852,36;52,37;7,06;0,68%;-0,20;0,24;0,47;Consumo Cíclico;Tecidos. Vestuário e Calçados
ALPK3;4,48;141.372,76;-4,95;1,86;-%;2,79;-0,88;-;Bens Industriais;Serviços
ALSO3;20,60;32.070.375,88;33,30;0,82;1,10%;0,13;0,64;-;Financeiro e Outros;Exploração de Imóveis
ALUP11;24,49;100 %;5,11;1,09;3,43%;1,20;3,21;3,04;Utilidade Pública;Energia Elétrica
ALUP3;8,14;100.473,36;5,09;1,08;3,44%;1,20;1,07;1,01;Utilidade Pública;Energia Elétrica
ALUP4;8,24;110.719,04;5,15;1,10;3,40%;1,20;1,07;1,01;Utilidade Pública;Energia Elétrica
AMAR3;4,17;39.373.783,08;3,88;1,17;-%;1,31;0,00;-0,55;Consumo Cíclico;Comércio
AMBP3;41,57;58.678.295,08;34,68;3,99;0,23%;1,30;0,40;-;Utilidade Pública;Água e Saneamento
ANDG3B;28,82;-;59,95;2,23;-%;0,13;0,48;0,48;Financeiro e Outros;Holdings Diversificadas
ANDG4B;0,00;-;0,00;0,00;-%;0,13;0,48;0,48;Financeiro e Outros;Holdings Diversificadas
ANIM3;8,81;33.178.104,88;101,22;1,38;-%;1,70;-0,31;-0,12;Consumo Cíclico;Diversos
APER3;29,89;1.612.218,24;-2.859,51;1,17;-%;-0,35;-;0,33;Financeiro e Outros;Previdência e Seguros
APTI3;197,64;-;-0,36;0,01;239,54%;-0,02;3.517,13;-990,86;Consumo não Cíclico;Agropecuária
APTI4;3.500,00;-;-6,45;0,26;14,88%;-0,02;3.517,13;-990,86;Consumo não Cíclico;Agropecuária
ARZZ3;74,11;87.671.786,72;25,72;4,77;1,25%;0,18;0,49;1,80;Consumo Cíclico;Comércio
ATMP3;3,36;191.873,80;-0,88;0,47;-%;1,46;-8,70;-;Bens Industriais;Serviços
ATOM3;3,05;109.257,68;8,32;3,57;9,84%;-0,87;0,59;0,10;Financeiro e Outros;Outros
AURA33;47,05;5.020.857,68;7,84;2,22;9,76%;-0,03;19,96;-;Materiais Básicos;Mineração
AVLL3;21,89;1.069.868,68;-0,96;3,63;-%;5,68;-13,68;-;Consumo Cíclico;Construção Civil
AZEV3;3,73;405.262,32;1,88;4,56;-%;-1,32;-1,86;-1,33;Bens Industriais;Construção e Engenharia
AZEV4;3,14;1.387.602,76;1,59;3,83;-%;-1,32;-1,86;-1,33;Bens Industriais;Construção e Engenharia
AZUL4;24,73;271.190.453,24;-7,55;-1,74;-%;-;-8,61;-1,91;Bens Industriais;Transporte
B3SA3;12,05;446.986.398,96;15,63;3,27;7,96%;-0,44;2,02;1,32;Financeiro e Outros;Serviços Financeiros Diversos
BAHI3;14,20;30.225,20;-5,41;1,52;-%;0,04;-20,46;-3,39;Consumo Cíclico;Diversos
BALM3;15,85;6.789,13;20,58;1,30;2,15%;-0,14;1,74;0,64;Saúde;Equipamentos
BALM4;13,69;7.982,84;17,78;1,12;2,99%;-0,14;1,74;0,64;Saúde;Equipamentos
BAUH4;83,00;41.951,26;22,17;4,40;-%;-0,11;4,49;5,14;Consumo não Cíclico;Alimentos Processados
BAZA3;39,50;25.943,10;2,07;0,41;6,58%;-;8,96;9,29;Financeiro e Outros;Intermediários Financeiros
BBAS3;32,60;491.524.595,80;5,37;0,68;6,77%;-;4,64;5,72;Financeiro e Outros;Intermediários Financeiros
BBDC3;17,78;149.666.210,92;7,13;1,17;6,16%;-;1,81;2,61;Financeiro e Outros;Intermediários Financeiros
BBDC4;20,95;956.317.577,96;8,40;1,38;5,75%;-;1,81;2,61;Financeiro e Outros;Intermediários Financeiros
BBML3;3.936,42;-;5.752,19;1.032,22;0,01%;2,08;0,22;0,38;Bens Industriais;Serviços
BBRK3;1,05;2.745.326,12;-0,66;1,99;-%;-0,48;-4,91;-2,46;Financeiro e Outros;Exploração de Imóveis
BBSE3;21,22;101.107.060,08;11,71;5,45;4,70%;-;1,93;3,33;Financeiro e Outros;Previdência e Seguros
BDLL3;11,50;45.610,42;-0,48;-0,10;-%;-;-40,91;-127,76;Bens Industriais;Máquinas e Equipamentos
BDLL4;11,00;10.083,81;-0,46;-0,09;-%;-;-40,91;-127,76;Bens Industriais;Máquinas e Equipamentos
BEEF3;8,67;67.267.305,20;9,21;10,73;12,93%;12,04;1,27;0,04;Consumo não Cíclico;Alimentos Processados
BEES3;4,75;64.495,12;6,35;0,82;6,22%;-;0,70;0,68;Financeiro e Outros;Intermediários Financeiros
BEES4;5,66;14.425,36;7,56;0,97;5,22%;-;0,70;0,68;Financeiro e Outros;Intermediários Financeiros
BFRE11;0,00;-;0,00;0,00;-%;-;11.800,56;19.654,11;Financeiro e Outros;Serviços Financeiros Diversos
BFRE12;0,00;-;0,00;0,00;-%;-;11.800,56;19.654,11;Financeiro e Outros;Serviços Financeiros Diversos
BGIP3;31,50;3.687,36;5,21;0,86;3,59%;-;3,56;5,47;Financeiro e Outros;Intermediários Financeiros
BGIP4;23,49;7.732,25;3,89;0,64;5,30%;-;3,56;5,47;Financeiro e Outros;Intermediários Financeiros
BIDI11;37,41;100 %;601,38;3,77;0,13%;-;-0,03;2,33;Financeiro e Outros;Intermediários Financeiros
BIDI3;12,47;20.429.096,08;601,38;3,77;0,13%;-;-0,01;0,78;Financeiro e Outros;Intermediários Financeiros
BIDI4;12,38;136.474.632,64;597,04;3,74;0,13%;-;-0,01;0,78;Financeiro e Outros;Intermediários Financeiros
BIOM3;13,23;100.977,40;-12,07;6,31;-%;0,86;-1,05;-1,17;Saúde;Comércio e Distribuição
BKBR3;7,18;29.084.195,68;-5,01;1,28;-%;0,22;-1,62;0,22;Consumo Cíclico;Hoteis e Restaurantes
BMEB3;12,66;5.498,12;6,98;1,19;9,33%;-;3,48;2,11;Financeiro e Outros;Intermediários Financeiros
BMEB4;10,03;68.013,64;5,53;0,94;12,95%;-;3,48;2,11;Financeiro e Outros;Intermediários Financeiros
BMGB4;3,02;3.877.249,88;7,11;0,45;5,91%;-;0,53;1,94;Financeiro e Outros;Intermediários Financeiros
BMIN3;24,98;7.875,33;31,71;0,95;-%;-;0,51;0,46;Financeiro e Outros;Intermediários Financeiros
BMIN4;17,40;15.839,54;22,09;0,67;11,21%;-;0,51;0,46;Financeiro e Outros;Intermediários Financeiros
BMKS3;228,98;11.567,65;25,30;0,55;3,46%;-0,72;7,66;5,91;Consumo Cíclico;Viagens e Lazer
BNBR3;67,98;29.702,83;4,58;0,82;7,01%;-;11,80;20,11;Financeiro e Outros;Intermediários Financeiros
BOAS3;6,55;9.101.711,32;24,30;1,74;0,32%;-0,56;0,10;-;Financeiro e Outros;Serviços Financeiros Diversos
BOBR3;0,00;-;0,00;0,00;-%;-;0,15;-0,75;Consumo não Cíclico;Produtos de Uso Pessoal e de Limpeza
BOBR4;1,77;75.623,72;3,65;-4,02;-%;-;0,15;-0,75;Consumo não Cíclico;Produtos de Uso Pessoal e de Limpeza
BPAC11;21,20;100 %;11,26;2,24;1,54%;-;3,63;4,27;Financeiro e Outros;Intermediários Financeiros
BPAC3;12,94;111.348,52;20,61;4,11;0,84%;-;1,21;1,42;Financeiro e Outros;Intermediários Financeiros
BPAC5;5,01;101.984,04;7,98;1,59;2,17%;-;1,21;1,42;Financeiro e Outros;Intermediários Financeiros
BPAN4;12,43;84.062.183,28;19,84;2,64;1,70%;-;0,52;0,54;Financeiro e Outros;Intermediários Financeiros
BPAR3;182,07;-;9,08;1,06;5,69%;-;25,33;34,03;Financeiro e Outros;Intermediários Financeiros
BPAT33;44,05;-;6,98;0,66;-%;-;6,31;6,31;Financeiro e Outros;Intermediários Financeiros
BPHA3;0,62;-;0,06;-0,24;-%;-;10,40;10,40;Saúde;Comércio e Distribuição
BRAP3;51,50;11.431.397,48;3,72;1,39;9,22%;-0,18;4,22;-1,16;Materiais Básicos;Mineração
BRAP4;53,93;200.510.950,04;3,89;1,46;9,69%;-0,18;4,22;-1,16;Materiais Básicos;Mineração
BRDT3;22,03;298.546.540,71;5,60;2,29;10,50%;0,78;3,35;1,90;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis
BRFS3;20,44;141.368.659,60;40,80;2,19;-%;2,23;1,70;0,37;Consumo não Cíclico;Alimentos Processados
BRGE11;7,91;1.151,80;25,58;0,47;4,65%;-1,22;0,56;0,68;Financeiro e Outros;Previdência e Seguros
BRGE12;6,90;3.876,11;22,31;0,41;0,01%;-1,22;0,56;0,68;Financeiro e Outros;Previdência e Seguros
BRGE3;8,18;2.999,67;26,45;0,48;0,01%;-1,22;0,56;0,68;Financeiro e Outros;Previdência e Seguros
BRGE5;10,41;1.041,00;33,66;0,61;2,94%;-1,22;0,56;0,68;Financeiro e Outros;Previdência e Seguros
BRGE6;9,00;1.800,00;29,10;0,53;8,17%;-1,22;0,56;0,68;Financeiro e Outros;Previdência e Seguros
BRGE7;5,40;-;17,46;0,32;7,94%;-1,22;0,56;0,68;Financeiro e Outros;Previdência e Seguros
BRGE8;10,24;1.024,00;33,11;0,60;2,99%;-1,22;0,56;0,68;Financeiro e Outros;Previdência e Seguros
